id,SUM69,ASMO
[2003] UKHL 1,2003Jan30regina-1.ling.xml,0
[2001] UKHL 3,2001Jan25montgo-1.ling.xml,1
[2001] UKHL 42,2001Jul25dan-1.ling.xml,2
[2001] UKHL 38,2001Jul12news-1.ling.xml,3
[2001] UKHL 15,2001Mar22hallam-1.ling.xml,4
[2001] UKHL 35,2001Jul05m-1.ling.xml,5
[2001] UKHL 43,2001Oct11uratem-1.ling.xml,6
[2001] UKHL 11,2001Mar08mehann-1.ling.xml,7
[2001] UKHL 32,2001Jun28optid-1-NS.ling.xml,8
2001-FEB-kuw,2001Feb08kuwait-1.ling.xml,9
[2001] UKHL 70,2001Dec17inreb-1-NS.ling.xml,10
[2001] UKHL 68,2001Dec13smith-1.ling.xml,11
[2001] UKHL 5,2001Feb08presto-1.ling.xml,12
[2001] UKHL 4,2001Jan31card-1.ling.xml,13
[2001] UKHL 2,2001Jan18intern-1.ling.xml,14
[2001] UKHL 26,2001May23daly-1.ling.xml,15
[2001] UKHL 27,2001May23newfi-1-NS.ling.xml,16
[2001] UKHL 55,2001Oct25dela-1.ling.xml,17
[2001] UKHL 28,2001May23liver-1.ling.xml,18
[2001] UKHL 57,2001Nov01moham-1.ling.xml,19
[2001] UKHL 39,2001Jul12mcgra-1.ling.xml,20
[2001] UKHL 34,2001Jun28norris-1.ling.xml,21
[2001] UKHL 19,2001Apr04eastbrn-1.ling.xml,22
[2001] UKHL 63,2001Dec13aib-1.ling.xml,23
[2002] UKHL 47,2002Nov25lich-1.ling.xml,24
[2002] UKHL 25,2002Jun20ni-1-NS.ling.xml,25
[2002] UKHL 30,2002Jul04graham-1.ling.xml,26
[2002] UKHL 16,2002Apr25cape-1-NS.ling.xml,27
[2002] UKHL 38,2002Oct17westmi-1.ling.xml,28
[2002] UKHL 45,2002Nov14byrne-1.ling.xml,29
[2002] UKHL 6,2002Feb20kahn-1-NS.ling.xml,30
[2002] UKHL 26,2002Jun20pope-1.ling.xml,31
[2002] UKHL 21,2002May16morgan-1.ling.xml,32
[2002] UKHL 2,2002Jan24benja-1.ling.xml,33
[2002] UKHL 41,2002Oct31regina-1.ling.xml,34
[2002] UKHL 24,2002Jun20wngton-1.ling.xml,35
[2002] UKHL 29,2002Jun27ash-1.ling.xml,36
[2002] UKHL 9,2002Feb28amin-1.ling.xml,37
[2002] UKHL 18,2002Apr25cave-1.ling.xml,38
[2002] UKHL 3,2002Jan24zeqiri-1-NS.ling.xml,39
[2002] UKHL 23,2002May23burket-1.ling.xml,40
[2002] UKHL 1,2002Jan24rezvi-1.ling.xml,41
[2002] UKHL 13,2002Apr18gersn-1.ling.xml,42
[2002] UKHL 34,2002Jul25sten-1.ling.xml,43
[2002] UKHL 8,2002Feb28esusse-1-NS.ling.xml,44
[2002] UKHL 35,2002Jul25robert-1.ling.xml,45
[2003] UKHL 2,2003Jan30kanar-1.ling.xml,46
[2003] UKHL 18,2003Apr03green-1.ling.xml,47
[2003] UKHL 45,2003Jul31thomsn-1-NS.ling.xml,48
[2003] UKHL 41,2003Jul31mulkrn-1.ling.xml,49
[2003] UKHL 36,2003Jun26anuf-1-NS.ling.xml,50
[2003] UKHL 24,2003May08russ-1.ling.xml,51
[2003] UKHL 14,2003Mar20sivak-1.ling.xml,52
[2003] UKHL 28,2003May22john-1.ling.xml,53
[2003] UKHL 17,2003Apr03action-1.ling.xml,54
[2003] UKHL 22,2003Apr10sage-1.ling.xml,55
[2003] UKHL 31,2003Jun12kuwa-1.ling.xml,56
[2003] UKHL 10,2003Feb27diets-1.ling.xml,57
[2003] UKHL 37,2003Jun26aston-1-NS.ling.xml,58
[2003] UKHL 3,2003Feb06shield-1-NS.ling.xml,59
[2003] UKHL 44,2003Jul31moyna-1.ling.xml,60
[2003] UKHL 48,2003Jul31lloyds-1-NS.ling.xml,61
[2003] UKHL 8,2003Feb27inrep-1.ling.xml,62
[2003] UKHL 7,2003Feb20glaz-1.ling.xml,63
[2003] UKHL 42,2003Jul31giles-1-NS.ling.xml,64
[2003] UKHL 32,2003Jun12lyon-1.ling.xml,66
[2003] UKHL 38,2003Jun26rus-1-NS.ling.xml,67
[2003] UKHL 15,2003Mar20sepet-1.ling.xml,68
[2003] UKHL 21,2003Apr10bellin-1.ling.xml,69
